time:9.196760892868042, length:3.3501322518404466, ratio:0.3044776119402985
time:12.07424521446228, length:3.7947238619537984, ratio:0.3693134328358209
time:4.751830577850342, length:1.5104339794404291, ratio:0.18376119402985075
time:14.873873949050903, length:1.96408942196855, ratio:0.22113432835820895
time:2.9339208602905273, length:0.687340101601675, ratio:0.15367164179104478
time:5.600244998931885, length:1.5400842341018983, ratio:0.20423880597014926
time:2.3916571140289307, length:0.2725628280402027, ratio:0.14143283582089552
time:4.614496469497681, length:1.133077889077227, ratio:0.17402985074626864
time:4.093827486038208, length:1.1190561238249517, ratio:0.16823880597014926
time:7.7065300941467285, length:1.4532606472010763, ratio:0.18191044776119403
time:8.14188027381897, length:1.6875522766730948, ratio:0.2168358208955224
time:4.386050462722778, length:1.1620464179052363, ratio:0.1848358208955224
time:7.669663906097412, length:2.482517711068862, ratio:0.26764179104477615
time:2.9456238746643066, length:0.6920812303582998, ratio:0.15277611940298508
time:5.126855373382568, length:1.6291046192434193, ratio:0.19301492537313433
time:4.30259108543396, length:1.152757345718713, ratio:0.17188059701492536
time:15.401776552200317, length:5.693628866127907, ratio:0.43402985074626865
time:3.6865148544311523, length:1.0603551238995053, ratio:0.15964179104477613
time:4.204357147216797, length:1.150988966679337, ratio:0.17146268656716418
time:5.611212968826294, length:1.5974489494559687, ratio:0.20597014925373133
time:14.365137815475464, length:5.595413222489939, ratio:0.3896119402985075
time:2.7532896995544434, length:0.7115824735482931, ratio:0.1483582089552239
time:5.137948036193848, length:1.6061817562748555, ratio:0.19546268656716417
time:7.06273078918457, length:1.3884426337423408, ratio:0.1817313432835821
time:4.120006799697876, length:1.2099967727338066, ratio:0.1662686567164179
time:6.119844913482666, length:1.5737720415088017, ratio:0.19934328358208955
time:2.7456471920013428, length:0.6407183561935803, ratio:0.15797014925373135
time:5.056428670883179, length:1.5850931376353763, ratio:0.1995223880597015
time:4.480607509613037, length:1.1436050651049907, ratio:0.17719402985074628
time:6.8669116497039795, length:1.7808783444495169, ratio:0.21582089552238806
time:4.536303997039795, length:1.1495417088553654, ratio:0.17797014925373134
time:4.633121728897095, length:1.1513807815531651, ratio:0.17044776119402985
time:6.470195770263672, length:1.5466640775611438, ratio:0.19385074626865673
time:4.465063571929932, length:1.148668667351369, ratio:0.16519402985074627
time:15.090948104858398, length:4.891264007535581, ratio:0.3770149253731343
time:11.362828016281128, length:4.255448979585114, ratio:0.36997014925373134
time:5.41398024559021, length:1.3726333922662832, ratio:0.18561194029850747
time:5.623398065567017, length:1.582674029817565, ratio:0.20423880597014926
time:4.0794456005096436, length:1.149029594359034, ratio:0.16859701492537313
time:4.5012571811676025, length:1.19185551506821, ratio:0.1645373134328358
time:4.0981786251068115, length:1.1611200234596186, ratio:0.16256716417910447
time:16.160388708114624, length:3.481914746255264, ratio:0.3068059701492537
